pairing_id,base,n_legs,cost_eur,start_min,end_min,legs
213,DUS,5,1205.4,5050.0,8115.0,3504676227|3504676377|3505309573|3505309392|3505310337
214,DUS,7,1205.0,4730.0,8210.0,3504676937|3505309309|3505309249|3505309596|3505309597|3505310291|3505310381
215,DUS,7,1202.8,6170.0,9855.0,3505309723|3505309553|3505310211|3505310092|3505310863|3505310874|3505311209
216,DUS,4,1201.4,5455.0,8210.0,3504676351|3505309626|3505310378|3505309983
217,DUS,10,1200.0,1830.0,5650.0,3504638671|3504638168|3504638171|3504658093|3504658094|3504658087|3504658088|3504676767|3504676834|3504676837
218,DUS,4,1197.4,7700.0,9635.0,3505310243|3505309985|3505310763|3505310889
219,DUS,4,1196.0,4735.0,8565.0,3504676908|3504676909|3505309737|3505310111
220,DUS,4,1195.8,7620.0,10100.0,3505310348|3505310226|3505310968|3505310881
221,DUS,3,1195.4,2125.0,5595.0,3504638450|3504658134|3504676336
222,DUS,6,1194.8,3995.0,6955.0,3504658155|3504676841|3504676842|3504676352|3505309647|3505309648
223,DUS,4,1193.2,5330.0,7790.0,3504676856|3505309272|3505309420|3505310101
224,DUS,4,1192.8,8030.0,9935.0,3505310257|3505310306|3505311065|3505311066
225,DUS,4,1191.4,6535.0,9685.0,3505309262|3505310339|3505311126|3505310829
226,DUS,4,1190.8,3560.0,6525.0,3504657803|3504676782|3505309356|3505309638
227,DUS,6,1185.4,6465.0,9835.0,3505309655|3505310361|3505310137|3505310913|3505311094|3505311095
228,DUS,4,1184.8,7620.0,10040.0,3505310370|3505310371|3505310406|3505310843
229,DUS,5,1181.8,3805.0,7070.0,3504658195|3504658196|3504676818|3504676297|3505309750
230,DUS,8,1180.0,965.0,4220.0,3504619331|3504619083|3504619307|3504638674|3504658207|3504657700|3504657781|3504658264
231,DUS,4,1177.6,7500.0,9705.0,3505310106|3505310286|3505311049|3505310725
232,DUS,4,1175.4,3775.0,6415.0,3504658071|3504676955|3504676948|3505309731
233,DUS,6,1175.0,4145.0,8070.0,3504658139|3505309613|3505309681|3505309369|3505310032|3505310351
234,DUS,4,1175.0,3620.0,6375.0,3504658191|3504658192|3504676943|3505309730
235,DUS,6,1174.8,1130.0,4195.0,3504619460|3504638807|3504657787|3504657788|3504657673|3504658176
236,DUS,4,1170.4,7555.0,9415.0,3505310239|3505310377|3505311154|3505311155
237,DUS,4,1169.6,3580.0,8325.0,3504657835|3504658210|3505309440|3505310139
238,DUS,5,1165.4,6470.0,9755.0,3505309605|3505310420|3505311026|3505311001|3505311129
239,DUS,4,1160.4,3690.0,6775.0,3504658022|3504676863|3505309691|3505309692
