Captain_ID,Home_Base,Legs
869,DUS,"[3504619394, 3504619395, 3504638800, 3504638551]"
101,HAM,"[3504619276, 3504619277, 3504638562, 3504658260, 3504658205, 3504657605]"
529,HAM,"[3504619209, 3504638680, 3504638830, 3504658270, 3504658133, 3504657962]"
140,HAM,"[3504619209, 3504638363, 3504638169]"
199,BER,"[3504619314, 3504618961, 3504638189, 3504638707, 3504638691, 3504658143, 3504657848, 3504658050]"
627,HAM,"[3504619259, 3504619266, 3504638546, 3504638797]"
909,DUS,"[3504619422, 3504619424, 3504638772, 3504638773]"
142,HAM,"[3504619240, 3504619257, 3504638558, 3504638272]"
921,STR,"[3504618965, 3504619192, 3504638325, 3504658082, 3504658069, 3504658070]"
817,DUS,"[3504619497, 3504619498, 3504638679, 3504657976, 3504657925, 3504658090]"
98,CGN,"[3504619021, 3504619025, 3504638327, 3504638328, 3504657801, 3504657792, 3504657727]"
173,HAM,"[3504619274, 3504638224]"
686,DUS,"[3504619368, 3504618944, 3504618920, 3504638603, 3504638604, 3504638674]"
524,DUS,"[3504619396, 3504619397, 3504638836]"
365,BER,"[3504619432, 3504638541]"
616,DUS,"[3504619347, 3504638690, 3504638754, 3504638755]"
61,STR,"[3504618957, 3504618959, 3504638207, 3504638379]"
839,BER,"[3504619300, 3504638688]"
722,CGN,"[3504618882, 3504619492, 3504638838, 3504638571]"
80,DUS,"[3504619406, 3504619409, 3504619345, 3504638686, 3504638812, 3504658252, 3504658207, 3504658208]"
81,HAM,"[3504619296, 3504619297, 3504619280, 3504619281, 3504638176, 3504638236, 3504638789]"
55,DUS,"[3504619402, 3504619403, 3504638712, 3504658164, 3504658092, 3504658115, 3504676462, 3504676382, 3504676383]"
902,BER,"[3504619308, 3504619309, 3504638607, 3504638377]"
176,STR,"[3504638203, 3504638589]"
943,STR,"[3504638201, 3504638739]"
742,DUS,"[3504619438, 3504619439, 3504619331, 3504638560, 3504638819, 3504638677]"
555,DUS,"[3504619404, 3504619248, 3504638530, 3504638218]"
178,HAM,"[3504619282, 3504638146]"
943,STR,"[3504618989, 3504638267]"
702,DUS,"[3504619423, 3504638769, 3504638840, 3504638841]"
350,STR,"[3504618995, 3504638156]"
84,DUS,"[3504619462, 3504638152, 3504638141, 3504638547]"
248,HAM,"[3504619286, 3504618992, 3504638211, 3504638216]"
821,DUS,"[3504619464, 3504638815]"
879,DUS,"[3504619354, 3504619355, 3504638828, 3504638158]"
512,HAM,"[3504619284, 3504638557]"
826,STR,"[3504618928, 3504618934, 3504638243, 3504638793]"
347,DUS,"[3504619358, 3504619361, 3504638734, 3504638735, 3504638706, 3504658160, 3504658155, 3504658156]"
