pairing_id,base,n_legs,cost,start_min,end_min,route,legs
37,DUS,6,1110.0,685.0,2765.0,DUS->PMI [TUR] PMI->CGN [TUR] CGN->EDI [LAY] EDI->DUS [TUR] DUS->FCO [TUR] FCO->DUS,3505309679|3505309283|3505309259|3505310335|3505310457|3505310458
38,STR,7,1105.0,870.0,2810.0,STR->HAM [TUR] HAM->BUD [TUR] BUD->CGN [LAY] CGN->NCE [TUR] NCE->CGN [TUR] CGN->BCN [TUR] BCN->STR,3505309336|3505309558|3505309311|3505309958|3505309959|3505309970|3505310049
39,HAM,4,1105.0,355.0,2230.0,HAM->FAO [TUR] FAO->HAM [LAY] HAM->PMI [TUR] PMI->HAM,3505309542|3505309543|3505310237|3505310242
40,BER,6,1105.0,595.0,2570.0,BER->STR [TUR] STR->KGS [TUR] KGS->STR [LAY] STR->FCO [TUR] FCO->DUS [TUR] DUS->BER,3505309572|3505309338|3505309339|3505310096|3505310453|3505310313
41,STR,6,1105.0,630.0,2735.0,STR->OLB [TUR] OLB->STR [TUR] STR->ATH [LAY] ATH->DUS [TUR] DUS->LHR [TUR] LHR->STR,3505309400|3505309401|3505309382|3505310411|3505310352|3505310037
42,DUS,5,1100.0,880.0,2675.0,DUS->FAO [TUR] FAO->DUS [LAY] DUS->PMI [TUR] PMI->BER [TUR] BER->DUS,3505309703|3505309704|3505310378|3505310292|3505310314
43,CGN,4,1090.0,305.0,2075.0,CGN->FNC [TUR] FNC->CGN [LAY] CGN->SJJ [TUR] SJJ->CGN,3505309294|3505309295|3505309966|3505309967
44,HAM,4,1090.0,420.0,2225.0,HAM->KGS [TUR] KGS->HAM [LAY] HAM->BCN [TUR] BCN->HAM,3505309510|3505309511|3505310229|3505310230
45,CGN,6,1090.0,585.0,2465.0,CGN->SPU [TUR] SPU->HAM [TUR] HAM->CTA [LAY] CTA->STR [TUR] STR->LHR [TUR] LHR->CGN,3505309328|3505309571|3505309560|3505310091|3505310034|3505309963
46,NUE,5,1088.4,240.0,2965.0,NUE->PMI [TUR] PMI->DTM [LAY] CGN->BER [TUR] BER->PMI [TUR] PMI->NUE,3505309470|3505309423|3505309949|3505310295|3505310175
47,HAM,6,1085.0,425.0,2785.0,HAM->BCN [TUR] BCN->DUS [TUR] DUS->GWT [LAY] GWT->DUS [TUR] DUS->PMI [TUR] PMI->HAM,3505309526|3505309638|3505309600|3505310310|3505310388|3505310248
48,STR,5,1075.0,685.0,2825.0,STR->IBZ [TUR] IBZ->HAM [LAY] HAM->STR [TUR] STR->AGP [TUR] AGP->STR,3505309364|3505309523|3505310025|3505310054|3505310055
49,CGN,6,1071.6,460.0,2585.0,CGN->LHR [TUR] LHR->STR [TUR] STR->OTP [LAY] OTP->DUS [TUR] DUS->PRG [TUR] PRG->DUS,3505309264|3505309349|3505309354|3505310434|3505310426|3505310430
50,CGN,6,1065.0,315.0,2500.0,CGN->PMI [TUR] PMI->HAM [LAY] HAM->LHR [TUR] LHR->CGN [TUR] CGN->EDI [TUR] EDI->CGN,3505309278|3505309535|3505310221|3505309961|3505309953|3505309954
51,DUS,5,1062.8,425.0,2480.0,DUS->KVA [TUR] KVA->DUS [LAY] DUS->FCO [TUR] FCO->STR [TRA] MUC->DUS,3505309711|3505309712|3505310454|3505310097|3505310316
52,DUS,4,1062.0,365.0,2210.0,DTM->PMI [TUR] PMI->DUS [LAY] DUS->MIR [TUR] MIR->DUS,3505309424|3505309675|3505310451|3505310452
53,BER,5,1060.0,495.0,2835.0,BER->STR [TUR] STR->PMI [TUR] PMI->DUS [LAY] DUS->NCE [LAY] NCE->BER,3505309331|3505309372|3505309674|3505310338|3505310284
54,HAM,6,1060.0,635.0,2535.0,HAM->NCE [TUR] NCE->DUS [TUR] DUS->CPH [LAY] CPH->DUS [TUR] DUS->PMI [TUR] PMI->HAM,3505309514|3505309636|3505309616|3505310320|3505310380|3505310246
