pairing_id,base,n_legs,cost,start_min,end_min,route,legs
87,DUS,4,970.0,610.0,2775.0,DUS->LIS [TUR] LIS->DUS [TUR] DUS->BIO [LAY] BIO->DUS,3505309691|3505309692|3505309653|3505310363
88,STR,6,965.0,460.0,2530.0,STR->LHR [TUR] LHR->DUS [TUR] DUS->VIE [LAY] VIE->STR [TUR] STR->PMI [TUR] PMI->STR,3505309348|3505309646|3505309721|3505310083|3505310062|3505310063
89,DUS,4,965.0,655.0,2755.0,DUS->BCN [TUR] BCN->HAM [LAY] HAM->PMI [TUR] PMI->DUS,3505309639|3505309525|3505310247|3505310389
90,DUS,4,958.8,935.0,2685.0,DUS->OTP [TUR] OTP->STR [LAY] BER->SPU [TUR] SPU->DUS,3505309735|3505309355|3505310307|3505310468
91,DUS,4,955.0,395.0,2210.0,DUS->ALC [TUR] ALC->DUS [LAY] DUS->BCN [TUR] BCN->DUS,3505309657|3505309658|3505310342|3505310345
92,STR,4,950.0,350.0,2405.0,STR->SKG [TUR] SKG->DUS [LAY] DUS->VLC [TUR] VLC->STR,3505309380|3505309706|3505310370|3505310051
93,DUS,4,945.0,410.0,2120.0,DUS->SKG [TUR] SKG->CGN [LAY] CGN->OLB [TUR] OLB->DUS,3505309705|3505309301|3505310010|3505310446
94,HAM,4,945.0,460.0,2180.0,HAM->OLB [TUR] OLB->HAJ [LAY] HAJ->PMI [TUR] PMI->HAM,3505309564|3505309417|3505310108|3505310238
95,CGN,6,945.0,380.0,2805.0,CGN->ZRH [TUR] ZRH->DUS [TUR] DUS->BIO [LAY] BIO->DUS [TUR] DUS->BLQ [TUR] BLQ->CGN,3505309308|3505309724|3505309655|3505310361|3505310443|3505310009
96,DUS,4,940.0,630.0,2635.0,DUS->VLC [LAY] VLC->DUS [TUR] DUS->PMI [TUR] PMI->DUS,3505309664|3505310371|3505310386|3505310387
97,HAM,4,935.0,385.0,2185.0,HAM->PMI [TUR] PMI->DUS [LAY] DUS->OLB [TUR] OLB->HAM,3505309534|3505309680|3505310445|3505310268
98,DUS,5,933.8,425.0,2150.0,DUS->PRG [TUR] PRG->DUS [TUR] DUS->BER [LAY] STR->PMI [TUR] PMI->DUS,3505309729|3505309438|3505309606|3505310060|3505310375
99,DUS,4,930.0,900.0,2305.0,DUS->PMI [TUR] PMI->DUS [LAY] DUS->PMI [TUR] PMI->DUS,3505309685|3505309686|3505310390|3505310391
100,BER,5,930.0,385.0,2825.0,BER->DUS [TUR] DUS->KRK [LAY] KRK->DUS [TUR] DUS->BIO [TUR] BIO->BER,3505309574|3505309713|3505310413|3505310362|3505310290
101,BER,5,925.0,405.0,2200.0,BER->ZRH [TUR] ZRH->BER [TUR] BER->CGN [LAY] CGN->PMI [TUR] PMI->BER,3505309592|3505309593|3505309250|3505309980|3505310294
102,DUS,4,920.0,400.0,2070.0,DUS->FAO [TUR] FAO->DUS [LAY] DUS->MAN [TUR] MAN->DUS,3505309701|3505309702|3505310330|3505310331
103,CGN,4,918.4,705.0,2275.0,DTM->PMI [TUR] PMI->STR [LAY] STR->SPU [TUR] SPU->CGN,3505309422|3505309369|3505310100|3505310019
104,CGN,4,915.0,370.0,2450.0,CGN->BCN [TUR] BCN->DUS [LAY] DUS->PMI [TUR] PMI->CGN,3505309273|3505309640|3505310376|3505309983
105,BER,5,915.0,1080.0,2685.0,BER->ZRH [TUR] ZRH->BER [LAY] BER->PMI [TUR] PMI->STR [TUR] STR->BER,3505309594|3505309595|3505310293|3505310059|3505310276
106,HAM,6,912.8,500.0,2510.0,HAM->STR [TUR] STR->BER [TUR] BER->CGN [LAY] CGN->LHR [TUR] LHR->STR [TRA] MUC->HAM,3505309335|3505309573|3505309253|3505309960|3505310033|3505310213
107,STR,5,911.6,390.0,2815.0,STR->BER [TUR] BER->ARN [LAY] ARN->DUS [TRA] CGN->ZAG [TUR] ZAG->STR,3505309330|3505309456|3505310318|3505310020|3505310103
108,DUS,4,910.0,370.0,2510.0,DUS->AGP [TUR] AGP->DUS [TUR] DUS->MAN [LAY] MAN->DUS,3505309659|3505309660|3505309625|3505310333
109,DUS,4,910.0,370.0,2170.0,DUS->PMI [TUR] PMI->NUE [LAY] NUE->PMI [TUR] PMI->DUS,3505309673|3505309477|3505310176|3505310377
110,DUS,5,905.0,485.0,2310.0,DUS->BER [TUR] BER->PMI [TUR] PMI->STR [LAY] STR->LHR [TUR] LHR->DUS,3505309575|3505309584|3505309371|3505310032|3505310351
111,HAM,6,905.0,1085.0,2760.0,HAM->LHR [TUR] LHR->CGN [LAY] CGN->LHR [TUR] LHR->HAM [TUR] HAM->ZRH [TUR] ZRH->HAM,3505309520|3505309269|3505309962|3505310224|3505310259|3505310260
112,STR,5,900.0,390.0,2385.0,STR->PMI [TUR] PMI->BER [LAY] BER->ZRH [TUR] ZRH->HAM [TUR] HAM->STR,3505309370|3505309587|3505310303|3505310256|3505310207
113,BER,4,897.4,360.0,2755.0,BER->NCL [LAY] NCL->DUS [TUR] DUS->LHR [TUR] LHR->DUS,3505309578|3505310329|3505310354|3505310355
114,CGN,4,895.0,725.0,2800.0,CGN->PMI [TUR] PMI->DUS [LAY] DUS->FCO [TUR] FCO->CGN,3505309282|3505309682|3505310455|3505310017
